"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"O&Kmarts 前端接口测试用例","模糊查询","","0","0","15","0","0"
"O&Kmarts 前端接口测试用例","购物车","购物车-批量删除","1","0","11","0","0"
"O&Kmarts 前端接口测试用例","地址管理","修改默认地址","0","0","10","0","0"
"O&Kmarts 前端接口测试用例","地址管理","修改地址","4","0","24","0","0"
"O&Kmarts 前端接口测试用例","首页查询","首页广告位查询","0","0","7","0","0"
"O&Kmarts 前端接口测试用例","提交订单","","10","0","16","0","0"
"O&Kmarts 前端接口测试用例","注册模块","","5","0","17","0","0"
"O&Kmarts 前端接口测试用例","积分提现","积分提现_检查密码","0","0","11","0","0"
"O&Kmarts 前端接口测试用例","积分提现","积分兑换","0","0","14","0","0"
"O&Kmarts 前端接口测试用例","购物车","购物车表-分页查询","0","0","18","0","0"
"O&Kmarts 前端接口测试用例","购物车","购物车-编辑","3","0","15","0","0"
"O&Kmarts 前端接口测试用例","新闻","新闻详情","0","10","1","0","0"
"O&Kmarts 前端接口测试用例","签到","签到","0","0","8","0","0"
"O&Kmarts 前端接口测试用例","修改密码","","1","0","12","0","0"
"O&Kmarts 前端接口测试用例","地址管理","删除地址","3","0","13","0","0"
"O&Kmarts 前端接口测试用例","执行支付","","3","0","15","0","0"
"O&Kmarts 前端接口测试用例","收藏","删除收藏","3","0","8","0","0"
"O&Kmarts 前端接口测试用例","新闻","新闻分页查询","0","0","12","0","0"
"O&Kmarts 前端接口测试用例","收藏","添加收藏","1","0","9","0","0"
"O&Kmarts 前端接口测试用例","通知消息列表","","0","0","11","0","0"
"O&Kmarts 前端接口测试用例","获取用户信息","","0","0","8","0","0"
"O&Kmarts 前端接口测试用例","登录模块","","0","0","13","0","0"
"O&Kmarts 前端接口测试用例","优惠券","注册优惠券","1","0","10","0","0"
"O&Kmarts 前端接口测试用例","订单查询","","0","0","12","0","0"
"O&Kmarts 前端接口测试用例","签到","签到查询","0","0","8","0","0"
"O&Kmarts 前端接口测试用例","优惠券","兑换优惠券","0","0","12","0","0"
"O&Kmarts 前端接口测试用例","首页查询","系统查询","0","0","8","0","0"
"O&Kmarts 前端接口测试用例","购物车","添加商品到购物车","1","0","16","0","0"
"O&Kmarts 前端接口测试用例","优惠券","获取优惠券商城数据","0","0","12","0","0"
"O&Kmarts 前端接口测试用例","查询商品详情","","0","0","11","0","0"
"O&Kmarts 前端接口测试用例","地址管理","获取地址信息","0","0","12","0","0"
"O&Kmarts 前端接口测试用例","首页查询","首页商品数据","0","0","7","0","0"
"O&Kmarts 前端接口测试用例","首页查询","查询商品类型","0","0","7","0","0"
"O&Kmarts 前端接口测试用例","获取验证码","","0","0","10","0","0"
"O&Kmarts 前端接口测试用例","首页查询","路由查询","0","0","7","0","0"
"O&Kmarts 前端接口测试用例","地址管理","新增地址","0","0","32","0","0"
"O&Kmarts 前端接口测试用例","优惠券","获取我的优惠券","0","0","12","0","0"
"O&Kmarts 前端接口测试用例","收藏","批量删除收藏","3","0","8","0","0"
"O&Kmarts 前端接口测试用例","新闻","新闻版块热销商品","5","0","7","0","0"
"O&Kmarts 前端接口测试用例","收藏","收藏查询","0","0","13","0","0"
"O&Kmarts 前端接口测试用例","修改用户信息","","1","0","10","0","0"
