"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 02 17:34:34 CST 2022","Sat Apr 02 17:34:35 CST 2022","777","main","testmain","TestMain","","","使用错误的请求方式POST查询失败",""
"passed","Sat Apr 02 17:37:01 CST 2022","Sat Apr 02 17:37:03 CST 2022","2373","main","testmain","TestMain","","","输入错误URL地址删除购物车商品失败",""
"passed","Sat Apr 02 17:34:40 CST 2022","Sat Apr 02 17:34:40 CST 2022","782","main","testmain","TestMain","","","pageSize为空进行查询失败",""
"passed","Sat Apr 02 17:38:52 CST 2022","Sat Apr 02 17:38:54 CST 2022","1587","main","testmain","TestMain","","","输入错误的请求方式修改默认地址失败PUT",""
"passed","Sat Apr 02 17:38:15 CST 2022","Sat Apr 02 17:38:17 CST 2022","1560","main","testmain","TestMain","","","缺少area2修改地址失败",""
"passed","Sat Apr 02 17:34:12 CST 2022","Sat Apr 02 17:34:13 CST 2022","801","main","testmain","TestMain","","","错误的参数请求方式获取广告栏位数据失败application/json",""
"passed","Sat Apr 02 17:40:11 CST 2022","Sat Apr 02 17:40:14 CST 2022","3145","main","testmain","TestMain","","","缺少list提交订单失败",""
"failed","Sat Apr 02 17:33:47 CST 2022","Sat Apr 02 17:33:48 CST 2022","793","main","testmain","TestMain","","","password5位字符注册失败",""
"passed","Sat Apr 02 17:49:05 CST 2022","Sat Apr 02 17:49:05 CST 2022","775","main","testmain","TestMain","","","错误的请求类型失败DELETE",""
"passed","Sat Apr 02 17:49:20 CST 2022","Sat Apr 02 17:49:21 CST 2022","791","main","testmain","TestMain","","","错误的参数类型兑换失败application/x-www-form-urlencoded",""
"passed","Sat Apr 02 17:35:00 CST 2022","Sat Apr 02 17:35:01 CST 2022","801","main","testmain","TestMain","","","使用正确参数查询成功",""
"passed","Sat Apr 02 17:35:14 CST 2022","Sat Apr 02 17:35:15 CST 2022","779","main","testmain","TestMain","","","输入错误请求参数查询失败multipart/form-data",""
"passed","Sat Apr 02 17:36:51 CST 2022","Sat Apr 02 17:36:52 CST 2022","1592","main","testmain","TestMain","","","参数id不存在编辑失败",""
"broken","Sat Apr 02 17:59:19 CST 2022","Sat Apr 02 18:00:20 CST 2022","61574","main","testmain","TestMain","","","错误的参数类型查询失败multipart/form-data",""
"passed","Sat Apr 02 17:42:08 CST 2022","Sat Apr 02 17:42:08 CST 2022","795","main","testmain","TestMain","","","输入错误URL签到失败",""
